log_id,user_id,access_type,location,access_time,status,ip_address
1,332,Server Room Access,Floor 1,2026-01-30,Success,192.168.237.32
2,124,Server Room Access,Storage,2025-10-19,Failed,192.168.120.54
3,59,System Login,Parking,2024-04-25,Failed,192.168.14.23
4,498,Server Room Access,Back Gate,2025-03-30,Success,192.168.9.237
5,425,System Login,Main Gate,2025-06-25,Success,192.168.28.146
6,238,Room Access,Storage,2025-04-10,Failed,192.168.90.200
7,290,Room Access,Floor 3,2024-06-02,Denied,192.168.146.246
8,170,Server Room Access,Main Gate,2024-11-14,Success,192.168.95.206
9,15,Server Room Access,Pool,2024-11-16,Denied,192.168.245.138
10,386,System Login,Pool,2025-08-28,Denied,192.168.100.118
11,167,Server Room Access,Server Room,2024-08-23,Failed,192.168.17.18
12,18,Server Room Access,Main Gate,2025-12-16,Denied,192.168.174.170
13,146,System Login,Server Room,2024-09-30,Success,192.168.9.195
14,316,Server Room Access,Server Room,2024-09-09,Denied,192.168.142.9
15,203,Room Access,Main Gate,2024-03-12,Success,192.168.245.1
16,273,Room Access,Floor 3,2025-10-07,Success,192.168.136.153
17,270,Room Access,Pool,2024-09-06,Success,192.168.186.111
18,303,Room Access,Gym,2024-02-19,Failed,192.168.164.27
19,208,System Login,Server Room,2024-05-22,Denied,192.168.100.196
20,323,Room Access,Reception,2024-04-15,Failed,192.168.111.130
21,45,System Login,Floor 1,2025-06-04,Failed,192.168.160.100
22,410,Room Access,Reception,2024-03-09,Failed,192.168.142.110
23,93,Server Room Access,Conference Room,2024-01-19,Denied,192.168.239.168
24,250,Server Room Access,Conference Room,2024-04-02,Failed,192.168.227.128
25,475,Server Room Access,Kitchen,2024-06-09,Failed,192.168.180.99
26,42,Server Room Access,Kitchen,2024-07-11,Success,192.168.84.150
27,39,Room Access,Lobby,2024-12-03,Failed,192.168.169.44
28,127,Room Access,Floor 1,2025-06-28,Success,192.168.181.8
29,390,Server Room Access,Main Gate,2024-06-25,Denied,192.168.102.223
30,394,Room Access,Server Room,2025-04-06,Denied,192.168.154.51
31,360,Room Access,Parking,2024-12-27,Failed,192.168.115.7
32,157,Server Room Access,Conference Room,2024-05-13,Failed,192.168.67.171
33,316,System Login,Lobby,2026-01-14,Denied,192.168.86.33
34,494,Server Room Access,Lobby,2025-12-01,Failed,192.168.76.125
35,157,Room Access,Parking,2026-03-28,Denied,192.168.191.131
36,39,Server Room Access,Reception,2025-11-05,Success,192.168.133.58
37,8,Server Room Access,Server Room,2024-02-11,Failed,192.168.86.102
38,165,Room Access,Server Room,2024-05-13,Denied,192.168.204.94
39,406,Server Room Access,Conference Room,2024-10-18,Denied,192.168.222.13
40,13,Server Room Access,Parking,2024-12-19,Denied,192.168.88.242
41,249,System Login,Parking,2026-03-16,Denied,192.168.166.159
42,98,Room Access,Main Gate,2024-02-28,Success,192.168.171.232
43,424,Server Room Access,Floor 3,2026-04-22,Success,192.168.64.191
44,201,Room Access,Pool,2024-09-20,Denied,192.168.170.131
45,246,System Login,Main Gate,2025-05-11,Denied,192.168.155.8
46,293,Server Room Access,Conference Room,2025-04-26,Denied,192.168.149.243
47,160,Server Room Access,Gym,2026-04-10,Failed,192.168.42.24
48,379,System Login,Floor 3,2024-11-26,Failed,192.168.118.215
49,344,Room Access,Parking,2024-10-20,Success,192.168.78.213
50,36,Room Access,Storage,2025-06-02,Success,192.168.235.96
51,120,Room Access,Server Room,2025-07-27,Denied,192.168.180.63
52,61,Server Room Access,Main Gate,2025-05-06,Failed,192.168.129.162
53,370,Server Room Access,Server Room,2026-03-29,Success,192.168.15.225
54,475,Room Access,Main Gate,2024-01-18,Success,192.168.31.132
55,203,Server Room Access,Lobby,2024-11-08,Failed,192.168.26.61
56,69,Room Access,Conference Room,2025-02-23,Failed,192.168.159.15
57,315,System Login,Kitchen,2024-02-25,Denied,192.168.146.167
58,291,Server Room Access,Lobby,2026-02-21,Denied,192.168.143.167
59,398,System Login,Kitchen,2024-02-12,Denied,192.168.219.126
60,265,Server Room Access,Kitchen,2024-11-01,Success,192.168.145.149
61,146,System Login,Server Room,2024-04-17,Denied,192.168.73.137
62,106,System Login,Parking,2025-02-21,Denied,192.168.178.114
63,345,Room Access,Pool,2025-11-18,Denied,192.168.56.96
64,14,System Login,Floor 2,2024-09-06,Success,192.168.93.173
65,34,Room Access,Parking,2024-11-17,Denied,192.168.205.207
66,17,Room Access,Parking,2024-06-18,Success,192.168.179.33
67,420,Server Room Access,Pool,2024-10-31,Success,192.168.14.41
