incident_id,asset_id,relation_description
232,152,Related asset to security incident
125,295,Related asset to security incident
196,183,Related asset to security incident
25,60,Related asset to security incident
294,152,Related asset to security incident
157,5,Related asset to security incident
221,188,Related asset to security incident
45,287,Related asset to security incident
115,39,Related asset to security incident
389,199,Related asset to security incident
438,67,Related asset to security incident
445,352,Related asset to security incident
340,149,Related asset to security incident
30,120,Related asset to security incident
247,21,Related asset to security incident
3,80,Related asset to security incident
274,476,Related asset to security incident
191,400,Related asset to security incident
164,200,Related asset to security incident
478,86,Related asset to security incident
262,247,Related asset to security incident
441,416,Related asset to security incident
161,283,Related asset to security incident
68,206,Related asset to security incident
330,108,Related asset to security incident
228,251,Related asset to security incident
57,90,Related asset to security incident
258,368,Related asset to security incident
468,253,Related asset to security incident
276,111,Related asset to security incident
124,459,Related asset to security incident
342,135,Related asset to security incident
415,379,Related asset to security incident
470,351,Related asset to security incident
260,330,Related asset to security incident
20,466,Related asset to security incident
387,248,Related asset to security incident
278,85,Related asset to security incident
200,369,Related asset to security incident
59,278,Related asset to security incident
381,353,Related asset to security incident
96,490,Related asset to security incident
67,226,Related asset to security incident
152,448,Related asset to security incident
22,225,Related asset to security incident
489,93,Related asset to security incident
284,210,Related asset to security incident
295,469,Related asset to security incident
25,37,Related asset to security incident
404,153,Related asset to security incident
307,253,Related asset to security incident
121,357,Related asset to security incident
110,263,Related asset to security incident
306,388,Related asset to security incident
234,213,Related asset to security incident
399,489,Related asset to security incident
22,44,Related asset to security incident
261,323,Related asset to security incident
485,36,Related asset to security incident
449,345,Related asset to security incident
95,193,Related asset to security incident
326,101,Related asset to security incident
210,272,Related asset to security incident
153,38,Related asset to security incident
348,382,Related asset to security incident
457,222,Related asset to security incident
397,291,Related asset to security incident
124,404,Related asset to security incident
427,115,Related asset to security incident
54,333,Related asset to security incident
282,478,Related asset to security incident
267,378,Related asset to security incident
47,500,Related asset to security incident
433,281,Related asset to security incident
464,29,Related asset to security incident
468,389,Related asset to security incident
224,296,Related asset to security incident
424,124,Related asset to security incident
36,207,Related asset to security incident
54,324,Related asset to security incident
433,96,Related asset to security incident
111,454,Related asset to security incident
121,353,Related asset to security incident
474,485,Related asset to security incident
62,50,Related asset to security incident
280,83,Related asset to security incident
281,258,Related asset to security incident
462,489,Related asset to security incident
132,345,Related asset to security incident
413,359,Related asset to security incident
29,368,Related asset to security incident
27,34,Related asset to security incident
234,309,Related asset to security incident
446,405,Related asset to security incident
25,205,Related asset to security incident
470,337,Related asset to security incident
178,465,Related asset to security incident
243,352,Related asset to security incident
477,400,Related asset to security incident
21,15,Related asset to security incident
42,110,Related asset to security incident
17,45,Related asset to security incident
107,442,Related asset to security incident
403,62,Related asset to security incident
21,26,Related asset to security incident
8,45,Related asset to security incident
262,26,Related asset to security incident
306,161,Related asset to security incident
317,325,Related asset to security incident
