assignment_id,assigned_date,role_in_incident,incident_id,user_id
1,2024-04-07,Technician,48,317
2,2024-01-13,Owner,160,279
3,2024-02-05,Owner,344,40
4,2025-09-27,Investigator,158,268
5,2024-03-06,Owner,363,53
6,2024-12-28,Reporter,251,59
7,2025-06-20,Owner,186,478
8,2024-04-07,Technician,348,203
9,2024-02-21,Investigator,52,53
10,2025-11-19,Owner,24,374
11,2025-03-31,Reviewer,356,11
12,2025-03-05,Investigator,167,322
13,2026-04-17,Reporter,306,283
14,2025-11-29,Reporter,187,167
15,2024-09-14,Reporter,489,184
16,2025-03-04,Owner,268,419
17,2025-10-25,Investigator,33,451
18,2025-11-06,Owner,467,31
19,2025-09-07,Reporter,271,73
20,2024-07-14,Owner,340,27
21,2025-10-12,Reviewer,194,493
22,2025-04-09,Reviewer,446,248
23,2025-01-25,Technician,218,320
24,2025-10-14,Investigator,210,410
25,2024-12-14,Reporter,27,334
26,2024-08-10,Owner,169,196
27,2025-10-06,Owner,19,146
28,2025-04-07,Technician,114,101
29,2025-03-26,Owner,439,141
30,2024-12-23,Technician,215,455
31,2026-01-22,Investigator,152,445
32,2024-06-12,Reviewer,429,260
33,2024-08-24,Reporter,479,219
34,2025-01-15,Owner,412,182
35,2025-11-23,Investigator,356,425
36,2025-04-27,Reviewer,232,258
37,2024-02-22,Reporter,42,47
38,2026-03-31,Reviewer,320,473
39,2025-05-19,Owner,448,405
40,2025-11-04,Reviewer,112,464
41,2025-07-06,Technician,108,370
42,2025-03-28,Reviewer,299,106
43,2024-10-05,Owner,339,234
44,2024-03-09,Investigator,290,18
45,2026-02-26,Owner,295,31
46,2025-05-10,Owner,417,45
47,2025-10-25,Technician,180,211
48,2026-03-14,Technician,265,264
49,2025-03-30,Reporter,109,454
50,2025-10-09,Investigator,187,163
51,2025-10-31,Owner,389,479
52,2025-10-04,Investigator,38,222
53,2025-02-04,Reviewer,290,179
54,2024-03-16,Reporter,471,431
55,2025-01-23,Reporter,333,408
56,2025-05-29,Reviewer,84,296
57,2025-08-22,Technician,469,20
58,2024-05-29,Owner,203,142
59,2025-12-14,Reviewer,48,70
60,2026-03-22,Investigator,313,196
61,2025-05-10,Technician,343,196
62,2025-11-27,Reviewer,289,432
63,2024-12-14,Technician,327,498
64,2024-12-19,Technician,180,423
65,2024-05-30,Owner,41,444
66,2024-01-23,Technician,303,468
67,2025-02-28,Reporter,220,177
68,2025-04-10,Reporter,493,497
69,2025-01-19,Reporter,268,234
70,2024-02-13,Reporter,174,368
71,2024-09-26,Technician,207,151
72,2025-02-12,Investigator,316,330
73,2026-02-22,Owner,196,85
74,2024-01-31,Technician,392,404
75,2025-07-04,Owner,10,387
76,2025-04-21,Reviewer,72,274
77,2024-06-27,Reporter,77,378
78,2024-03-18,Investigator,495,290
79,2025-12-23,Owner,63,439
80,2024-06-22,Owner,364,486
81,2025-05-07,Reporter,153,199
82,2025-11-11,Investigator,30,309
83,2025-11-05,Reviewer,248,225
84,2024-08-19,Owner,483,136
85,2024-07-31,Reviewer,181,187
86,2025-01-27,Reviewer,330,395
87,2024-05-07,Owner,437,244
88,2025-12-15,Technician,268,259
89,2025-12-30,Reviewer,50,404
90,2025-04-07,Reviewer,83,384
91,2026-04-04,Reporter,282,450
92,2024-07-22,Reporter,333,352
93,2025-06-20,Owner,447,211
94,2024-11-14,Technician,491,2
95,2026-01-15,Reporter,349,343
96,2024-06-17,Owner,404,435
97,2025-06-17,Owner,496,354
98,2025-06-06,Reporter,195,362
99,2026-02-17,Owner,200,71
100,2024-03-13,Technician,201,295
101,2026-02-27,Owner,301,473
102,2024-11-17,Technician,376,53
103,2025-03-13,Owner,451,340
104,2025-03-19,Reporter,100,445
105,2025-07-11,Investigator,163,61
106,2024-11-10,Owner,109,437
107,2024-03-03,Technician,375,20
108,2025-05-16,Technician,252,247
109,2025-12-15,Reporter,465,269
110,2024-03-24,Investigator,319,18
111,2024-10-21,Owner,229,332
112,2025-03-17,Owner,54,131
113,2025-10-30,Reporter,65,469
114,2026-01-15,Investigator,97,96
115,2024-08-18,Reviewer,440,1
116,2024-07-20,Reporter,204,93
117,2025-11-12,Technician,419,17
118,2024-01-16,Owner,483,208
119,2024-07-05,Investigator,344,285
120,2024-05-12,Owner,359,422
121,2025-11-02,Investigator,51,22
122,2024-10-03,Investigator,303,429
123,2024-03-31,Reviewer,241,129
124,2025-09-29,Reporter,50,48
125,2024-09-11,Investigator,357,182
126,2025-06-07,Investigator,67,49
127,2024-12-24,Investigator,243,486
128,2026-03-08,Investigator,329,9
129,2024-10-12,Investigator,75,230
130,2024-10-02,Reviewer,255,179
131,2025-04-17,Technician,76,436
132,2025-06-06,Owner,172,486
133,2025-12-25,Technician,237,46
134,2025-02-13,Reporter,454,348
135,2024-10-13,Owner,153,437
136,2024-10-06,Reviewer,247,440
137,2024-03-12,Reviewer,323,27
138,2025-06-30,Owner,108,263
139,2025-10-10,Owner,52,205
140,2024-12-10,Investigator,285,196
141,2024-08-31,Reviewer,495,462
142,2026-02-21,Reporter,229,305
143,2026-02-08,Owner,435,90
144,2025-05-30,Investigator,425,296
145,2024-02-17,Reporter,213,13
146,2024-05-26,Reporter,120,84
147,2024-01-16,Technician,137,104
148,2025-01-29,Reporter,354,283
149,2024-04-11,Owner,102,221
150,2025-11-26,Reviewer,380,208
151,2025-05-07,Investigator,454,45
152,2024-01-30,Owner,462,312
153,2026-03-10,Technician,188,278
154,2025-09-29,Technician,355,484
155,2024-11-10,Owner,424,314
156,2025-10-31,Investigator,376,477
157,2024-07-17,Reporter,265,11
158,2025-06-13,Investigator,365,94
159,2024-05-06,Investigator,429,145
160,2026-01-11,Reporter,121,159
161,2025-03-17,Reviewer,489,214
162,2024-02-05,Technician,135,332
163,2024-12-22,Technician,32,182
164,2025-07-20,Reviewer,462,252
165,2025-02-25,Technician,63,193
166,2024-11-15,Technician,63,231
167,2026-03-21,Reviewer,46,235
168,2024-08-16,Owner,493,61
169,2026-04-19,Reporter,100,461
170,2024-03-17,Reporter,261,238
171,2024-11-12,Technician,450,279
172,2025-01-10,Reviewer,168,162
173,2025-02-06,Owner,494,75
174,2026-03-24,Reviewer,60,83
175,2025-07-04,Reviewer,225,278
176,2024-01-24,Reporter,236,496
177,2025-04-26,Reviewer,28,442
178,2025-02-14,Investigator,390,304
179,2026-02-22,Investigator,202,247
180,2025-11-25,Investigator,365,416
181,2025-11-02,Reviewer,393,446
182,2025-01-30,Reviewer,412,236
183,2024-08-12,Technician,344,132
184,2024-02-13,Technician,318,23
185,2024-10-16,Reviewer,431,252
186,2024-08-09,Reviewer,81,356
187,2024-08-19,Technician,427,97
188,2024-01-05,Investigator,319,297
189,2024-09-17,Owner,286,188
190,2025-08-12,Investigator,395,43
191,2024-12-23,Reviewer,227,263
192,2026-04-16,Technician,169,340
193,2025-03-03,Investigator,29,310
194,2025-08-24,Technician,492,269
195,2025-08-31,Investigator,259,221
196,2025-07-03,Reviewer,486,225
197,2025-12-09,Reporter,476,466
198,2024-05-27,Technician,177,356
199,2024-04-15,Technician,179,39
200,2024-12-05,Owner,406,456
201,2024-04-21,Owner,308,264
202,2025-11-21,Technician,368,179
203,2024-12-24,Owner,285,168
204,2024-04-05,Investigator,460,323
205,2024-06-29,Reporter,116,192
206,2024-01-27,Owner,209,77
207,2025-07-30,Reporter,87,11
208,2025-11-25,Owner,323,294
209,2025-07-17,Owner,33,35
210,2024-08-27,Investigator,237,262
211,2026-04-24,Owner,68,85
212,2024-09-13,Reviewer,66,57
213,2025-08-08,Owner,440,109
214,2025-03-18,Investigator,295,370
215,2024-12-15,Investigator,267,415
216,2025-01-27,Technician,139,190
217,2026-04-19,Technician,169,366
218,2024-12-12,Reporter,51,203
219,2026-01-25,Investigator,100,237
220,2026-04-17,Owner,109,400
221,2025-01-04,Reporter,496,38
222,2025-08-06,Reviewer,30,247
223,2026-03-10,Owner,117,271
224,2025-04-28,Investigator,243,234
225,2025-11-12,Investigator,323,114
226,2025-02-14,Owner,275,457
227,2024-09-01,Reporter,59,173
228,2024-08-30,Investigator,490,298
229,2025-03-08,Owner,307,465
230,2024-11-24,Reviewer,344,227
231,2024-08-30,Technician,331,486
232,2025-06-14,Investigator,325,485
233,2026-02-13,Investigator,117,356
234,2024-01-23,Owner,434,386
235,2024-04-19,Reviewer,284,358
236,2025-08-03,Investigator,208,21
237,2025-04-24,Reviewer,434,205
238,2025-01-22,Investigator,217,145
239,2025-03-05,Reviewer,71,313
240,2026-02-18,Reporter,69,402
241,2024-03-29,Reviewer,130,141
242,2025-11-11,Investigator,335,407
243,2024-04-19,Owner,334,60
244,2024-06-06,Investigator,69,367
245,2025-03-15,Reviewer,329,315
246,2024-04-30,Reporter,320,286
247,2026-04-08,Technician,3,344
248,2026-02-16,Owner,491,218
249,2024-08-14,Technician,71,257
250,2024-04-22,Reviewer,176,133
251,2025-12-22,Investigator,31,240
252,2025-12-22,Investigator,12,390
253,2025-08-11,Reporter,425,424
254,2025-08-10,Investigator,100,292
255,2024-07-27,Reviewer,479,474
256,2025-02-05,Owner,61,103
257,2026-02-02,Reviewer,342,246
258,2025-03-12,Reporter,307,428
259,2026-02-27,Investigator,107,256
260,2024-06-01,Investigator,489,202
261,2024-05-01,Reviewer,471,215
262,2025-12-21,Reviewer,218,387
263,2025-05-19,Reviewer,343,283
264,2025-05-03,Investigator,69,30
265,2024-11-20,Technician,455,310
266,2025-07-18,Investigator,172,76
267,2025-09-19,Reviewer,119,451
268,2026-03-16,Reviewer,25,464
269,2025-01-05,Investigator,396,260
270,2024-06-02,Investigator,83,273
271,2025-06-07,Investigator,460,441
272,2025-09-14,Reviewer,268,475
