location_id,location_name
6,Lobby - Section 1
7,Reception - Section 1
8,Main Gate - Section 1
9,Back Gate - Section 1
10,Parking Level A - Zone 1
11,Parking Level B - Zone 1
12,Underground Parking - Zone 1
13,Server Room - Section 1
14,Security Control Room - Section 1
15,CCTV Room - Section 1
16,Kitchen Entrance - Section 1
17,Main Kitchen - Section 1
18,Loading Dock - Section 1
19,Laundry Room - Section 1
20,Storage Room - Section 1
21,Maintenance Workshop - Section 1
22,Conference Hall - Section 1
23,Ballroom Entrance - Section 1
24,Business Lounge - Section 1
25,VIP Lounge - Section 1
26,Pool Deck - Section 1
27,Gym Entrance - Section 1
28,Spa Reception - Section 1
29,Restaurant Entrance - Section 1
30,Bar Entrance - Section 1
31,Emergency Exit North - Section 1
32,Emergency Exit South - Section 1
33,Staff Entrance - Section 1
34,Elevator Lobby - Floor 1
35,Service Elevator - Floor 1
36,Guest Corridor - Floor 1
37,Rooftop Access - Section 1
38,Kids Club - Section 1
39,Garden Entrance - Section 1
40,Beach Gate - Section 1
41,Lobby - Section 2
42,Reception - Section 2
43,Main Gate - Section 2
44,Back Gate - Section 2
45,Parking Level A - Zone 2
46,Parking Level B - Zone 2
47,Underground Parking - Zone 2
48,Server Room - Section 2
49,Security Control Room - Section 2
50,CCTV Room - Section 2
51,Kitchen Entrance - Section 2
52,Main Kitchen - Section 2
53,Loading Dock - Section 2
54,Laundry Room - Section 2
55,Storage Room - Section 2
56,Maintenance Workshop - Section 2
57,Conference Hall - Section 2
58,Ballroom Entrance - Section 2
59,Business Lounge - Section 2
60,VIP Lounge - Section 2
61,Pool Deck - Section 2
62,Gym Entrance - Section 2
63,Spa Reception - Section 2
64,Restaurant Entrance - Section 2
65,Bar Entrance - Section 2
66,Emergency Exit North - Section 2
67,Emergency Exit South - Section 2
68,Staff Entrance - Section 2
69,Elevator Lobby - Floor 2
70,Service Elevator - Floor 2
71,Guest Corridor - Floor 2
72,Rooftop Access - Section 2
73,Kids Club - Section 2
74,Garden Entrance - Section 2
75,Beach Gate - Section 2
76,Lobby - Section 3
77,Reception - Section 3
78,Main Gate - Section 3
79,Back Gate - Section 3
80,Parking Level A - Zone 3
81,Parking Level B - Zone 3
82,Underground Parking - Zone 3
83,Server Room - Section 3
84,Security Control Room - Section 3
85,CCTV Room - Section 3
86,Kitchen Entrance - Section 3
87,Main Kitchen - Section 3
88,Loading Dock - Section 3
89,Laundry Room - Section 3
90,Storage Room - Section 3
91,Maintenance Workshop - Section 3
92,Conference Hall - Section 3
93,Ballroom Entrance - Section 3
94,Business Lounge - Section 3
95,VIP Lounge - Section 3
96,Pool Deck - Section 3
97,Gym Entrance - Section 3
98,Spa Reception - Section 3
99,Restaurant Entrance - Section 3
100,Bar Entrance - Section 3
101,Emergency Exit North - Section 3
102,Emergency Exit South - Section 3
103,Staff Entrance - Section 3
104,Elevator Lobby - Floor 3
105,Service Elevator - Floor 3
106,Guest Corridor - Floor 3
107,Rooftop Access - Section 3
108,Kids Club - Section 3
109,Garden Entrance - Section 3
110,Beach Gate - Section 3
111,Lobby - Section 4
112,Reception - Section 4
113,Main Gate - Section 4
114,Back Gate - Section 4
115,Parking Level A - Zone 4
116,Parking Level B - Zone 4
117,Underground Parking - Zone 4
118,Server Room - Section 4
119,Security Control Room - Section 4
120,CCTV Room - Section 4
121,Kitchen Entrance - Section 4
122,Main Kitchen - Section 4
123,Loading Dock - Section 4
124,Laundry Room - Section 4
125,Storage Room - Section 4
126,Maintenance Workshop - Section 4
127,Conference Hall - Section 4
128,Ballroom Entrance - Section 4
129,Business Lounge - Section 4
130,VIP Lounge - Section 4
131,Pool Deck - Section 4
132,Gym Entrance - Section 4
133,Spa Reception - Section 4
134,Restaurant Entrance - Section 4
135,Bar Entrance - Section 4
136,Emergency Exit North - Section 4
137,Emergency Exit South - Section 4
138,Staff Entrance - Section 4
139,Elevator Lobby - Floor 4
140,Service Elevator - Floor 4
141,Guest Corridor - Floor 4
142,Rooftop Access - Section 4
143,Kids Club - Section 4
144,Garden Entrance - Section 4
145,Beach Gate - Section 4
146,Lobby - Section 5
147,Reception - Section 5
148,Main Gate - Section 5
149,Back Gate - Section 5
150,Parking Level A - Zone 5
151,Parking Level B - Zone 5
152,Underground Parking - Zone 5
153,Server Room - Section 5
154,Security Control Room - Section 5
155,CCTV Room - Section 5
156,Kitchen Entrance - Section 5
157,Main Kitchen - Section 5
158,Loading Dock - Section 5
159,Laundry Room - Section 5
160,Storage Room - Section 5
161,Maintenance Workshop - Section 5
162,Conference Hall - Section 5
163,Ballroom Entrance - Section 5
164,Business Lounge - Section 5
165,VIP Lounge - Section 5
166,Pool Deck - Section 5
167,Gym Entrance - Section 5
168,Spa Reception - Section 5
169,Restaurant Entrance - Section 5
170,Bar Entrance - Section 5
171,Emergency Exit North - Section 5
172,Emergency Exit South - Section 5
173,Staff Entrance - Section 5
174,Elevator Lobby - Floor 5
175,Service Elevator - Floor 5
176,Guest Corridor - Floor 5
177,Rooftop Access - Section 5
178,Kids Club - Section 5
179,Garden Entrance - Section 5
180,Beach Gate - Section 5
181,Lobby - Section 6
182,Reception - Section 6
183,Main Gate - Section 6
184,Back Gate - Section 6
185,Parking Level A - Zone 6
186,Parking Level B - Zone 6
187,Underground Parking - Zone 6
188,Server Room - Section 6
189,Security Control Room - Section 6
190,CCTV Room - Section 6
191,Kitchen Entrance - Section 6
192,Main Kitchen - Section 6
193,Loading Dock - Section 6
194,Laundry Room - Section 6
195,Storage Room - Section 6
196,Maintenance Workshop - Section 6
197,Conference Hall - Section 6
198,Ballroom Entrance - Section 6
199,Business Lounge - Section 6
200,VIP Lounge - Section 6
201,Pool Deck - Section 6
202,Gym Entrance - Section 6
203,Spa Reception - Section 6
204,Restaurant Entrance - Section 6
205,Bar Entrance - Section 6
206,Emergency Exit North - Section 6
207,Emergency Exit South - Section 6
208,Staff Entrance - Section 6
209,Elevator Lobby - Floor 6
210,Service Elevator - Floor 6
211,Guest Corridor - Floor 6
212,Rooftop Access - Section 6
213,Kids Club - Section 6
214,Garden Entrance - Section 6
215,Beach Gate - Section 6
216,Lobby - Section 7
217,Reception - Section 7
218,Main Gate - Section 7
219,Back Gate - Section 7
220,Parking Level A - Zone 7
221,Parking Level B - Zone 7
222,Underground Parking - Zone 7
223,Server Room - Section 7
224,Security Control Room - Section 7
225,CCTV Room - Section 7
226,Kitchen Entrance - Section 7
227,Main Kitchen - Section 7
228,Loading Dock - Section 7
229,Laundry Room - Section 7
230,Storage Room - Section 7
231,Maintenance Workshop - Section 7
232,Conference Hall - Section 7
233,Ballroom Entrance - Section 7
234,Business Lounge - Section 7
235,VIP Lounge - Section 7
236,Pool Deck - Section 7
237,Gym Entrance - Section 7
238,Spa Reception - Section 7
239,Restaurant Entrance - Section 7
240,Bar Entrance - Section 7
241,Emergency Exit North - Section 7
242,Emergency Exit South - Section 7
243,Staff Entrance - Section 7
244,Elevator Lobby - Floor 7
245,Service Elevator - Floor 7
246,Guest Corridor - Floor 7
247,Rooftop Access - Section 7
248,Kids Club - Section 7
249,Garden Entrance - Section 7
250,Beach Gate - Section 7
251,Lobby - Section 8
252,Reception - Section 8
253,Main Gate - Section 8
254,Back Gate - Section 8
255,Parking Level A - Zone 8
256,Parking Level B - Zone 8
257,Underground Parking - Zone 8
258,Server Room - Section 8
259,Security Control Room - Section 8
260,CCTV Room - Section 8
261,Kitchen Entrance - Section 8
262,Main Kitchen - Section 8
263,Loading Dock - Section 8
264,Laundry Room - Section 8
265,Storage Room - Section 8
266,Maintenance Workshop - Section 8
267,Conference Hall - Section 8
268,Ballroom Entrance - Section 8
269,Business Lounge - Section 8
270,VIP Lounge - Section 8
271,Pool Deck - Section 8
272,Gym Entrance - Section 8
273,Spa Reception - Section 8
274,Restaurant Entrance - Section 8
275,Bar Entrance - Section 8
276,Emergency Exit North - Section 8
277,Emergency Exit South - Section 8
278,Staff Entrance - Section 8
279,Elevator Lobby - Floor 8
280,Service Elevator - Floor 8
281,Guest Corridor - Floor 8
282,Rooftop Access - Section 8
283,Kids Club - Section 8
284,Garden Entrance - Section 8
285,Beach Gate - Section 8
286,Lobby - Section 9
287,Reception - Section 9
288,Main Gate - Section 9
289,Back Gate - Section 9
290,Parking Level A - Zone 9
291,Parking Level B - Zone 9
292,Underground Parking - Zone 9
293,Server Room - Section 9
294,Security Control Room - Section 9
295,CCTV Room - Section 9
296,Kitchen Entrance - Section 9
297,Main Kitchen - Section 9
298,Loading Dock - Section 9
299,Laundry Room - Section 9
300,Storage Room - Section 9
301,Maintenance Workshop - Section 9
302,Conference Hall - Section 9
303,Ballroom Entrance - Section 9
304,Business Lounge - Section 9
305,VIP Lounge - Section 9
306,Pool Deck - Section 9
307,Gym Entrance - Section 9
308,Spa Reception - Section 9
309,Restaurant Entrance - Section 9
310,Bar Entrance - Section 9
311,Emergency Exit North - Section 9
