log_id,access_time,status,user_id,camera_id
1,2026-05-25,Success,242,265
2,2026-01-29,Success,1,192
3,2026-05-29,Success,344,68
4,2026-04-24,Failed,303,19
5,2024-08-09,Success,89,161
6,2025-02-17,Success,193,290
7,2024-12-28,Success,364,213
8,2026-04-19,Success,12,140
9,2026-06-06,Success,89,327
10,2024-08-16,Success,127,261
11,2025-05-02,Success,229,200
12,2024-12-15,Success,52,483
13,2025-05-08,Success,211,364
14,2025-04-02,Success,24,473
15,2024-07-19,Denied,84,188
16,2025-10-14,Success,140,283
17,2025-02-19,Success,40,408
18,2024-11-05,Success,63,397
19,2025-03-24,Success,339,388
20,2025-04-04,Success,453,466
21,2025-04-14,Denied,177,38
22,2026-01-14,Denied,452,108
23,2025-09-04,Success,390,215
24,2025-04-19,Denied,200,361
25,2025-01-19,Success,496,167
26,2026-02-24,Success,59,14
27,2024-08-25,Success,311,356
28,2026-03-04,Success,58,416
29,2025-06-24,Success,1,127
30,2025-05-11,Denied,386,243
31,2026-04-27,Success,279,324
32,2025-01-23,Success,294,218
33,2025-08-24,Success,462,423
34,2025-11-07,Success,144,273
35,2024-11-30,Denied,39,381
36,2025-08-07,Success,132,77
37,2025-02-26,Success,215,229
38,2026-01-03,Success,419,242
39,2024-07-27,Success,456,30
40,2025-04-27,Success,40,286
41,2025-12-11,Success,416,230
42,2024-12-07,Success,342,494
43,2024-08-01,Denied,39,109
44,2025-09-29,Success,380,130
45,2025-03-10,Success,332,311
46,2025-10-12,Success,390,200
47,2024-10-23,Failed,388,255
48,2026-04-13,Success,10,112
49,2026-06-13,Success,170,141
50,2025-04-11,Success,211,126
51,2025-07-15,Success,255,1
52,2024-08-24,Success,204,207
53,2026-01-10,Failed,47,408
54,2026-01-03,Denied,173,260
55,2026-05-17,Success,381,149
56,2025-11-10,Success,309,282
57,2025-12-11,Success,406,320
58,2025-05-22,Success,325,63
59,2025-04-11,Success,125,370
60,2025-01-30,Success,62,129
61,2025-09-11,Success,458,391
62,2024-11-06,Success,322,137
63,2026-06-17,Denied,304,236
64,2024-10-25,Success,351,440
65,2026-03-24,Success,187,3
66,2025-07-06,Success,282,238
67,2024-08-15,Success,3,368
68,2025-01-15,Success,442,87
69,2024-08-19,Success,105,64
70,2026-05-11,Success,456,162
71,2024-11-18,Success,292,445
72,2026-05-30,Success,276,385
73,2025-12-25,Denied,259,404
74,2024-10-05,Success,366,331
75,2025-08-16,Success,332,114
76,2025-06-09,Success,381,487
77,2025-11-05,Denied,63,105
78,2026-05-04,Success,329,124
79,2025-03-17,Success,108,131
80,2025-03-21,Success,58,59
81,2024-08-17,Success,46,413
82,2025-10-16,Denied,4,498
83,2024-08-06,Denied,473,487
84,2026-01-11,Success,25,425
85,2026-02-20,Success,238,260
86,2025-10-27,Success,164,138
87,2026-02-18,Failed,149,91
88,2026-02-28,Success,147,239
89,2026-01-02,Success,404,491
90,2024-10-28,Success,464,491
91,2026-03-23,Success,284,96
92,2025-11-22,Failed,275,161
93,2026-01-26,Success,303,386
94,2025-10-30,Success,167,279
95,2025-03-11,Success,397,357
96,2026-02-09,Success,484,175
97,2024-09-27,Success,18,472
98,2026-03-02,Denied,427,315
99,2026-05-28,Success,146,274
100,2025-04-18,Success,99,61
101,2024-08-07,Success,390,395
102,2025-01-06,Denied,465,316
103,2025-04-30,Success,17,127
104,2024-09-28,Success,59,203
105,2026-01-14,Success,250,246
106,2024-08-19,Success,462,231
107,2025-04-18,Success,306,388
108,2026-01-26,Success,125,270
109,2025-10-05,Success,303,77
110,2024-09-06,Success,209,160
111,2025-09-07,Success,391,165
112,2024-12-08,Success,290,118
113,2026-04-25,Failed,217,101
114,2025-10-26,Success,319,58
115,2025-12-18,Success,45,330
116,2025-12-21,Success,146,21
117,2025-05-07,Success,475,161
118,2025-10-30,Success,443,36
119,2025-09-29,Success,93,355
120,2024-08-06,Failed,369,420
121,2025-11-09,Failed,335,351
122,2024-10-19,Success,471,250
123,2025-12-10,Success,475,244
124,2024-12-26,Success,224,384
125,2024-10-09,Success,337,181
126,2025-01-27,Success,123,486
127,2024-10-04,Success,233,85
128,2025-11-07,Success,326,32
129,2026-01-30,Denied,474,394
130,2025-03-29,Success,480,170
131,2026-01-14,Success,57,133
132,2024-08-18,Success,390,396
133,2025-12-27,Success,103,377
134,2025-08-22,Failed,89,446
135,2025-05-23,Denied,102,231
136,2025-03-29,Success,181,360
137,2025-03-07,Success,13,149
138,2024-11-29,Denied,251,157
139,2026-05-30,Success,316,495
140,2026-02-16,Success,393,66
141,2024-08-14,Success,351,87
142,2024-12-19,Denied,249,209
143,2025-03-12,Success,409,157
144,2026-03-07,Failed,330,416
145,2024-10-03,Success,421,192
146,2026-05-24,Success,458,279
147,2025-03-04,Success,8,1
148,2024-08-29,Success,174,362
149,2025-06-13,Success,201,87
150,2026-01-14,Success,205,91
151,2025-05-06,Denied,471,188
152,2024-09-06,Success,13,287
153,2025-07-07,Success,326,302
154,2025-11-28,Success,473,413
155,2025-06-17,Success,318,111
156,2024-09-15,Success,97,98
157,2025-11-17,Success,422,172
158,2024-11-25,Success,381,36
159,2025-12-20,Success,132,201
160,2025-06-25,Success,262,425
161,2025-11-27,Success,269,246
162,2025-05-26,Success,16,441
163,2025-11-12,Denied,284,293
164,2025-06-03,Success,473,310
165,2025-06-24,Success,454,369
166,2024-09-11,Success,233,43
167,2025-09-26,Success,367,433
168,2025-03-13,Success,430,427
169,2025-10-27,Failed,105,344
170,2026-01-23,Success,79,147
171,2025-12-06,Success,346,426
172,2025-01-27,Success,236,446
173,2025-09-15,Success,95,191
174,2026-05-06,Success,181,484
175,2026-06-13,Success,410,125
176,2025-04-03,Success,324,246
177,2024-12-25,Failed,410,370
178,2025-09-27,Success,391,8
179,2024-09-19,Success,263,9
180,2024-07-23,Success,157,203
181,2024-09-09,Success,121,439
182,2025-09-11,Success,141,69
183,2024-09-13,Success,315,275
184,2024-09-12,Success,304,2
185,2026-05-17,Success,291,478
186,2026-01-14,Success,309,262
187,2026-05-15,Success,398,293
188,2025-04-08,Success,22,434
189,2025-12-01,Success,265,318
190,2025-05-28,Success,491,424
191,2025-12-30,Success,293,153
192,2026-03-03,Success,146,477
193,2024-11-03,Success,460,24
194,2026-01-15,Success,106,358
195,2025-09-09,Success,409,94
196,2025-12-13,Denied,307,379
197,2026-05-23,Success,179,335
198,2025-10-25,Denied,277,227
199,2024-11-09,Success,191,344
200,2025-08-31,Success,125,14
201,2025-01-22,Success,345,393
202,2025-02-04,Success,161,34
203,2025-09-02,Denied,414,498
204,2025-03-13,Success,452,17
205,2024-08-21,Success,455,467
206,2026-03-22,Success,288,180
207,2024-08-16,Success,82,153
208,2025-03-19,Denied,13,107
209,2025-11-19,Denied,56,277
210,2025-11-09,Success,344,130
211,2025-04-08,Success,280,199
212,2024-07-28,Success,195,401
213,2024-10-04,Failed,57,93
214,2025-08-31,Success,257,420
215,2025-07-26,Success,125,403
216,2024-08-30,Success,344,88
217,2026-02-17,Success,72,54
218,2026-05-05,Success,351,36
219,2026-03-31,Denied,436,371
220,2025-12-20,Success,244,167
221,2025-04-29,Denied,80,277
222,2025-03-28,Success,228,392
223,2024-09-17,Success,231,378
224,2026-03-14,Success,3,328
225,2024-10-27,Success,199,451
226,2024-08-28,Success,28,429
227,2025-12-10,Success,25,85
228,2025-11-21,Success,417,337
229,2026-02-22,Success,38,368
230,2026-05-16,Denied,245,458
231,2026-02-01,Success,163,139
232,2025-09-27,Success,449,231
233,2025-08-30,Success,72,235
234,2024-08-31,Success,81,299
235,2024-08-27,Success,409,348
236,2026-06-13,Success,421,431
237,2025-04-25,Success,88,98
238,2024-09-07,Success,442,220
239,2026-01-01,Failed,369,82
240,2026-01-22,Success,52,331
241,2025-12-30,Success,247,48
242,2025-09-05,Success,236,129
243,2025-11-01,Success,454,49
244,2025-04-24,Success,339,298
245,2026-03-04,Success,242,499
246,2025-07-25,Denied,495,372
247,2025-09-03,Failed,148,197
248,2026-05-18,Success,379,193
249,2024-10-26,Success,457,283
250,2025-09-15,Success,334,340
251,2026-03-16,Success,36,257
252,2026-06-12,Success,214,100
253,2025-01-10,Success,379,337
254,2026-06-01,Success,379,134
255,2025-09-01,Denied,429,359
256,2026-03-19,Success,383,268
257,2025-05-01,Success,376,191
258,2025-06-08,Denied,497,251
259,2025-08-09,Denied,407,216
260,2025-09-01,Success,79,145
261,2026-01-01,Success,36,202
262,2024-11-30,Success,299,475
263,2025-01-03,Success,307,39
264,2026-06-11,Success,159,199
265,2024-09-09,Failed,404,430
266,2025-03-07,Success,7,93
267,2026-01-16,Success,66,98
268,2026-01-09,Success,332,34
269,2025-11-19,Success,305,366
270,2026-05-27,Success,130,229
271,2025-08-14,Success,165,261
272,2026-06-16,Success,386,343
