incident_id,asset_id,relation_description
201,368,Security workstation used for incident documentation
104,331,Alarm panel alert connected to the response
299,485,Door controller event related to the incident
460,290,Door controller event related to the incident
241,381,Badge reader logs used for access verification
232,239,Incident report printed from this device
31,446,CCTV footage reviewed for this incident
126,310,Network security logs reviewed
111,153,Security workstation used for incident documentation
400,27,CCTV footage reviewed for this incident
236,5,Network security logs reviewed
235,78,Incident report printed from this device
116,305,CCTV footage reviewed for this incident
405,230,Server logs reviewed for investigation
52,396,Door controller event related to the incident
500,251,CCTV footage reviewed for this incident
150,101,Video recording checked during investigation
13,463,Network device checked during response
476,189,Server logs reviewed for investigation
166,302,Incident report printed from this device
177,326,Door controller event related to the incident
498,409,Patrol radio used during response coordination
83,157,Badge reader logs used for access verification
62,285,Badge reader logs used for access verification
148,160,Network security logs reviewed
139,85,Video recording checked during investigation
99,131,Door controller event related to the incident
315,231,Network device checked during response
368,384,CCTV network switch checked during response
392,238,Server logs reviewed for investigation
403,49,Patrol radio used during response coordination
352,296,Badge reader logs used for access verification
195,180,Patrol radio used during response coordination
434,360,Security workstation used for incident documentation
273,434,CCTV network switch checked during response
164,265,Network device checked during response
361,221,CCTV footage reviewed for this incident
276,454,Server logs reviewed for investigation
179,132,Video recording checked during investigation
266,13,Door controller event related to the incident
6,411,Door controller event related to the incident
472,324,Video recording checked during investigation
271,399,Door controller event related to the incident
301,351,Server logs reviewed for investigation
422,47,CCTV footage reviewed for this incident
384,386,CCTV footage reviewed for this incident
207,214,Alarm panel alert connected to the response
468,390,Patrol radio used during response coordination
201,142,Video recording checked during investigation
326,82,Door controller event related to the incident
27,193,Incident report printed from this device
428,421,Patrol radio used during response coordination
221,434,CCTV network switch checked during response
361,467,Patrol radio used during response coordination
339,286,Door controller event related to the incident
285,356,Alarm panel alert connected to the response
381,306,Alarm panel alert connected to the response
42,411,Door controller event related to the incident
121,123,Badge reader logs used for access verification
340,273,CCTV footage reviewed for this incident
269,307,Patrol radio used during response coordination
196,234,Security workstation used for incident documentation
404,68,Server logs reviewed for investigation
51,51,CCTV footage reviewed for this incident
416,220,Alarm panel alert connected to the response
201,253,Patrol radio used during response coordination
375,254,CCTV network switch checked during response
435,108,Network security logs reviewed
114,129,CCTV footage reviewed for this incident
237,319,CCTV network switch checked during response
250,462,CCTV footage reviewed for this incident
111,211,Network device checked during response
249,405,Incident report printed from this device
332,127,Badge reader logs used for access verification
258,363,CCTV network switch checked during response
194,150,Door controller event related to the incident
463,41,Network device checked during response
421,211,Network device checked during response
414,277,Video recording checked during investigation
268,200,Network security logs reviewed
49,373,Door controller event related to the incident
171,351,Server logs reviewed for investigation
33,90,Server logs reviewed for investigation
273,444,Badge reader logs used for access verification
317,223,Patrol radio used during response coordination
125,89,Network device checked during response
317,139,Security workstation used for incident documentation
150,275,Incident report printed from this device
389,208,Server logs reviewed for investigation
439,430,Video recording checked during investigation
8,55,Network device checked during response
183,147,Security workstation used for incident documentation
104,166,Security workstation used for incident documentation
202,194,Network security logs reviewed
314,17,Door controller event related to the incident
270,235,Network security logs reviewed
200,146,CCTV network switch checked during response
293,482,Incident report printed from this device
228,21,CCTV footage reviewed for this incident
469,74,Video recording checked during investigation
41,484,CCTV footage reviewed for this incident
421,149,Door controller event related to the incident
18,211,Network device checked during response
265,397,Video recording checked during investigation
220,211,Network device checked during response
331,488,Badge reader logs used for access verification
107,420,CCTV footage reviewed for this incident
498,249,CCTV footage reviewed for this incident
84,110,Door controller event related to the incident
482,307,Patrol radio used during response coordination
177,1,Door controller event related to the incident
261,469,Network device checked during response
25,55,Network device checked during response
411,99,Server logs reviewed for investigation
115,403,Incident report printed from this device
241,145,Incident report printed from this device
106,300,Network device checked during response
323,221,CCTV footage reviewed for this incident
252,242,Network device checked during response
6,496,Network security logs reviewed
188,318,Network device checked during response
21,18,Network device checked during response
3,478,Alarm panel alert connected to the response
311,338,CCTV footage reviewed for this incident
258,302,Incident report printed from this device
146,187,Server logs reviewed for investigation
251,190,Alarm panel alert connected to the response
378,286,Door controller event related to the incident
189,13,Door controller event related to the incident
90,336,CCTV footage reviewed for this incident
221,167,Patrol radio used during response coordination
392,285,Badge reader logs used for access verification
30,41,Network device checked during response
40,303,Alarm panel alert connected to the response
136,7,Security workstation used for incident documentation
135,145,Incident report printed from this device
397,318,Network device checked during response
266,107,Video recording checked during investigation
496,365,Security workstation used for incident documentation
290,33,Video recording checked during investigation
356,333,Badge reader logs used for access verification
381,299,Badge reader logs used for access verification
173,363,CCTV network switch checked during response
50,289,Network security logs reviewed
304,338,CCTV footage reviewed for this incident
152,202,Network device checked during response
191,479,Network security logs reviewed
71,335,CCTV network switch checked during response
262,169,Video recording checked during investigation
220,224,Server logs reviewed for investigation
473,375,Network device checked during response
307,311,Incident report printed from this device
330,295,Network device checked during response
430,70,Patrol radio used during response coordination
219,496,Network security logs reviewed
320,430,Video recording checked during investigation
212,289,Network security logs reviewed
43,438,Network security logs reviewed
134,450,CCTV footage reviewed for this incident
98,295,Network device checked during response
62,401,Alarm panel alert connected to the response
27,189,Server logs reviewed for investigation
85,474,Network device checked during response
398,348,Patrol radio used during response coordination
422,329,Badge reader logs used for access verification
5,44,Patrol radio used during response coordination
190,131,Door controller event related to the incident
296,242,Network device checked during response
300,215,CCTV network switch checked during response
3,386,CCTV footage reviewed for this incident
234,498,Server logs reviewed for investigation
50,47,CCTV footage reviewed for this incident
225,323,CCTV network switch checked during response
336,344,Patrol radio used during response coordination
163,425,Network device checked during response
133,422,Door controller event related to the incident
220,1,Door controller event related to the incident
450,262,Patrol radio used during response coordination
33,60,Network device checked during response
187,437,Network security logs reviewed
185,281,Door controller event related to the incident
295,457,Incident report printed from this device
372,123,Badge reader logs used for access verification
218,138,Video recording checked during investigation
416,456,Door controller event related to the incident
482,3,Video recording checked during investigation
49,359,Door controller event related to the incident
211,240,Incident report printed from this device
104,163,Incident report printed from this device
57,281,Door controller event related to the incident
190,11,CCTV footage reviewed for this incident
476,455,Badge reader logs used for access verification
416,360,Security workstation used for incident documentation
279,75,Incident report printed from this device
87,128,Network security logs reviewed
6,356,Alarm panel alert connected to the response
34,290,Door controller event related to the incident
214,5,Network security logs reviewed
22,420,CCTV footage reviewed for this incident
483,424,CCTV network switch checked during response
290,226,Network device checked during response
60,329,Badge reader logs used for access verification
47,410,CCTV network switch checked during response
276,455,Badge reader logs used for access verification
301,305,CCTV footage reviewed for this incident
368,217,Alarm panel alert connected to the response
152,147,Security workstation used for incident documentation
245,386,CCTV footage reviewed for this incident
495,4,Incident report printed from this device
127,164,CCTV footage reviewed for this incident
483,182,Door controller event related to the incident
10,213,Badge reader logs used for access verification
229,13,Door controller event related to the incident
208,121,Door controller event related to the incident
402,224,Server logs reviewed for investigation
223,67,CCTV network switch checked during response
402,178,Network device checked during response
200,363,CCTV network switch checked during response
191,217,Alarm panel alert connected to the response
432,38,CCTV network switch checked during response
154,469,Network device checked during response
334,232,CCTV network switch checked during response
199,188,Video recording checked during investigation
95,1,Door controller event related to the incident
473,179,Video recording checked during investigation
166,93,CCTV footage reviewed for this incident
202,174,Network security logs reviewed
9,392,Badge reader logs used for access verification
27,206,CCTV footage reviewed for this incident
20,300,Network device checked during response
356,410,CCTV network switch checked during response
86,237,Alarm panel alert connected to the response
2,45,Server logs reviewed for investigation
83,258,Network device checked during response
443,447,Door controller event related to the incident
184,139,Security workstation used for incident documentation
302,316,CCTV network switch checked during response
440,176,Security workstation used for incident documentation
240,175,Badge reader logs used for access verification
221,75,Incident report printed from this device
296,493,Network security logs reviewed
348,380,Incident report printed from this device
39,14,Patrol radio used during response coordination
37,482,Incident report printed from this device
218,44,Patrol radio used during response coordination
91,207,Badge reader logs used for access verification
65,338,CCTV footage reviewed for this incident
216,99,Server logs reviewed for investigation
61,203,Door controller event related to the incident
