camera_id,installation_date,last_maintenance_date,status,location_id
1,2024-02-03,2024-10-24,Inactive,201
2,2024-11-17,2025-08-17,Maintenance,232
3,2024-06-11,2025-01-13,Maintenance,187
4,2024-11-22,2025-04-20,Inactive,13
5,2024-07-21,2025-01-30,Inactive,91
6,2024-01-23,2024-08-16,Inactive,123
7,2024-11-22,2025-06-16,Active,466
8,2024-11-17,2025-08-28,Offline,123
9,2024-06-30,2025-01-11,Maintenance,17
10,2025-02-02,2025-03-16,Inactive,478
11,2025-02-05,2025-05-24,Offline,233
12,2025-05-06,2025-09-27,Maintenance,359
13,2024-03-16,2024-10-10,Offline,306
14,2024-02-18,2024-06-20,Active,282
15,2024-01-11,2024-04-09,Active,457
16,2025-04-26,2025-08-15,Maintenance,198
17,2024-01-20,2024-09-29,Maintenance,40
18,2025-04-14,2025-11-25,Active,96
19,2024-03-29,2024-10-31,Active,191
20,2024-02-28,2024-04-22,Inactive,246
21,2024-02-16,2024-04-23,Active,360
22,2024-06-01,2024-12-10,Active,427
23,2024-12-21,2025-06-17,Offline,189
24,2025-04-07,2025-08-01,Offline,23
25,2024-05-18,2025-01-29,Inactive,359
26,2024-06-01,2025-03-06,Offline,94
27,2024-11-03,2025-05-04,Maintenance,266
28,2024-03-09,2024-06-29,Inactive,156
29,2024-09-19,2024-10-22,Inactive,204
30,2024-04-23,2024-06-27,Inactive,270
31,2024-11-11,2025-03-13,Offline,133
32,2024-06-21,2025-02-21,Maintenance,114
33,2024-06-05,2024-11-25,Maintenance,277
34,2024-11-15,2025-01-27,Active,491
35,2024-09-23,2025-07-13,Maintenance,337
36,2024-09-09,2024-10-23,Maintenance,409
37,2024-12-31,2025-10-24,Maintenance,305
38,2024-02-04,2024-10-24,Inactive,282
39,2025-04-23,2025-11-01,Maintenance,118
40,2025-03-16,2025-05-20,Active,86
41,2025-05-04,2025-07-22,Inactive,56
42,2024-10-10,2025-05-06,Inactive,367
43,2024-12-22,2025-05-26,Inactive,104
44,2024-09-28,2025-04-01,Inactive,386
45,2024-11-07,2025-04-30,Offline,45
46,2024-03-30,2025-01-24,Maintenance,17
47,2025-03-18,2025-05-15,Offline,407
48,2024-11-21,2025-05-08,Inactive,126
49,2024-08-29,2024-10-17,Inactive,322
50,2024-09-28,2024-12-27,Active,132
51,2024-02-08,2024-09-18,Active,274
52,2024-09-14,2024-12-05,Inactive,223
53,2024-10-06,2025-05-04,Offline,36
54,2024-05-19,2024-07-09,Active,282
55,2025-02-27,2025-11-08,Inactive,408
56,2025-03-21,2025-06-19,Inactive,269
57,2024-01-22,2024-04-13,Active,479
58,2025-04-30,2025-10-25,Maintenance,252
59,2024-12-13,2025-04-03,Inactive,337
60,2025-01-10,2025-08-07,Inactive,359
61,2024-11-13,2025-02-25,Active,3
62,2025-03-27,2025-07-31,Active,350
63,2025-01-28,2025-11-06,Offline,27
64,2024-11-01,2025-04-15,Inactive,307
65,2025-01-11,2025-05-16,Maintenance,479
66,2024-01-28,2024-11-22,Active,218
67,2024-06-24,2024-10-03,Inactive,354
68,2025-05-02,2025-12-17,Offline,437
69,2024-01-08,2024-04-03,Inactive,271
70,2025-01-19,2025-04-19,Maintenance,46
71,2024-03-27,2024-08-30,Offline,404
72,2025-02-06,2025-10-10,Maintenance,89
73,2025-04-17,2025-11-27,Maintenance,266
74,2025-02-18,2025-10-26,Offline,116
75,2024-03-04,2024-11-09,Maintenance,275
76,2025-02-05,2025-04-15,Maintenance,256
77,2024-03-11,2024-11-20,Active,20
78,2025-03-29,2025-08-19,Active,275
79,2024-09-07,2024-11-01,Offline,8
80,2025-01-30,2025-08-07,Active,29
81,2025-02-01,2025-09-20,Offline,310
82,2024-09-08,2025-05-12,Offline,168
83,2024-02-28,2024-04-02,Offline,497
84,2024-06-01,2024-11-02,Inactive,126
85,2025-04-18,2025-10-01,Active,456
86,2024-04-27,2024-09-21,Maintenance,118
87,2024-09-29,2024-11-22,Active,417
88,2024-04-25,2024-10-12,Offline,161
89,2024-10-14,2025-01-06,Maintenance,402
90,2025-03-20,2025-06-14,Offline,59
91,2024-09-18,2025-05-22,Inactive,434
92,2024-04-25,2025-01-20,Maintenance,243
93,2024-09-03,2025-03-25,Active,197
94,2024-01-28,2024-03-31,Inactive,84
95,2024-11-12,2025-08-29,Inactive,411
96,2024-09-01,2025-01-31,Offline,271
97,2024-05-08,2024-11-18,Active,361
98,2024-06-13,2025-04-03,Offline,54
99,2024-03-15,2024-08-24,Active,85
100,2025-01-11,2025-07-25,Active,255
101,2025-03-16,2025-08-21,Offline,399
102,2024-12-09,2025-07-06,Offline,123
103,2025-05-14,2025-11-22,Maintenance,477
104,2024-04-26,2024-08-21,Inactive,42
105,2024-05-31,2024-11-23,Inactive,234
106,2024-11-07,2024-12-26,Inactive,180
107,2024-08-17,2025-01-31,Active,460
108,2024-07-25,2024-12-14,Offline,10
109,2024-08-24,2025-05-11,Maintenance,456
110,2024-04-20,2024-06-22,Inactive,448
111,2024-08-11,2025-01-22,Maintenance,349
112,2024-09-27,2024-12-24,Offline,335
113,2024-01-29,2024-05-21,Offline,138
114,2024-12-19,2025-03-05,Inactive,288
115,2024-11-21,2025-06-14,Active,208
116,2024-02-06,2024-07-04,Active,178
117,2024-07-08,2025-04-23,Maintenance,186
118,2024-12-04,2025-06-19,Active,331
119,2024-07-20,2024-12-31,Maintenance,14
120,2024-01-22,2024-11-13,Maintenance,402
121,2024-03-28,2024-05-02,Offline,178
122,2024-02-11,2024-06-04,Offline,317
123,2025-01-15,2025-04-15,Offline,180
124,2024-03-07,2024-09-23,Maintenance,322
125,2024-10-23,2024-12-13,Maintenance,176
126,2025-04-02,2025-09-27,Inactive,28
127,2025-02-22,2025-11-15,Offline,298
128,2025-04-21,2025-10-11,Active,58
129,2024-05-31,2025-02-23,Offline,73
130,2024-09-05,2025-06-03,Active,182
131,2024-02-13,2024-03-25,Inactive,302
132,2024-05-30,2025-03-19,Inactive,50
133,2025-03-12,2025-06-24,Offline,193
134,2024-08-31,2024-10-08,Maintenance,265
135,2024-12-31,2025-09-02,Active,59
136,2024-08-06,2025-03-07,Active,490
