incident_id,user_id,assigned_date,role_in_incident
413,351,2025-08-10,Technical Support
388,357,2025-05-13,Shift Supervisor
349,385,2024-10-31,Technical Support
494,139,2025-10-05,Reporter
351,347,2025-09-22,Technical Support
129,204,2025-04-01,CCTV Reviewer
371,481,2024-05-24,Shift Supervisor
455,436,2024-09-04,Investigator
41,194,2024-09-04,Field Security Officer
75,39,2025-11-02,Reporter
213,94,2025-12-28,Technical Support
428,333,2026-02-28,Reporter
297,485,2025-06-17,Reporter
105,2,2024-05-13,Investigator
319,260,2026-03-23,Investigator
417,56,2025-11-24,Technical Support
33,249,2025-05-16,Investigator
225,83,2024-12-17,Technical Support
70,232,2026-05-19,Investigator
105,128,2025-06-18,Field Security Officer
295,53,2024-06-21,Technical Support
402,236,2024-05-24,Investigator
381,213,2026-05-01,Incident Owner
128,405,2025-12-16,Field Security Officer
113,394,2025-04-13,Field Security Officer
486,421,2024-08-19,Access Control Reviewer
92,246,2025-04-28,Shift Supervisor
439,70,2025-06-21,Access Control Reviewer
258,170,2025-06-21,Field Security Officer
295,33,2025-06-01,Technical Support
328,369,2025-03-19,Shift Supervisor
101,378,2024-08-11,Incident Owner
307,261,2025-12-22,Investigator
302,138,2026-02-21,Incident Owner
14,27,2025-09-23,Access Control Reviewer
400,267,2024-05-16,Incident Owner
480,72,2025-10-30,Incident Owner
132,426,2026-05-19,Reporter
111,131,2026-02-16,Incident Owner
181,106,2025-02-08,Incident Owner
405,457,2025-03-28,Shift Supervisor
458,137,2025-02-22,Reporter
401,425,2024-09-20,CCTV Reviewer
183,14,2026-05-24,Shift Supervisor
422,119,2025-06-20,Shift Supervisor
474,17,2025-05-07,Shift Supervisor
27,279,2025-06-01,Shift Supervisor
386,363,2026-01-13,Investigator
324,156,2024-08-25,Shift Supervisor
152,17,2024-08-05,Shift Supervisor
381,367,2026-02-11,Shift Supervisor
16,173,2026-04-05,Investigator
386,31,2025-04-28,Incident Owner
209,419,2025-08-24,Technical Support
464,230,2025-02-16,Incident Owner
379,219,2025-05-01,Shift Supervisor
1,89,2026-06-02,Incident Owner
15,239,2024-12-22,Reporter
38,485,2024-11-10,Shift Supervisor
436,134,2025-02-21,Shift Supervisor
500,124,2024-10-27,Investigator
5,147,2024-07-19,Access Control Reviewer
452,188,2024-08-01,Reporter
295,141,2025-05-28,Technical Support
285,398,2026-03-01,Access Control Reviewer
139,146,2025-07-23,Reporter
380,417,2025-10-01,Incident Owner
268,489,2025-11-11,CCTV Reviewer
339,120,2024-12-04,CCTV Reviewer
406,48,2025-05-21,Technical Support
439,434,2024-10-23,Field Security Officer
169,75,2025-11-19,Investigator
146,190,2026-03-07,Shift Supervisor
263,366,2025-12-17,Investigator
360,144,2024-06-05,Shift Supervisor
206,74,2025-10-25,Field Security Officer
269,191,2025-02-06,CCTV Reviewer
58,48,2025-04-11,Investigator
160,279,2026-02-22,Incident Owner
32,344,2024-06-04,Investigator
24,158,2026-04-25,Field Security Officer
53,445,2026-02-27,Investigator
64,251,2025-04-27,Investigator
243,186,2026-03-25,Incident Owner
203,49,2024-08-11,Shift Supervisor
53,431,2024-11-04,Incident Owner
24,374,2026-04-10,Investigator
11,228,2026-02-01,Reporter
215,66,2025-05-08,Access Control Reviewer
167,450,2025-05-02,Shift Supervisor
129,225,2025-07-02,Technical Support
360,43,2026-02-22,Incident Owner
119,467,2026-03-06,Incident Owner
55,271,2026-01-05,Investigator
229,340,2024-11-11,Incident Owner
64,194,2025-08-07,Access Control Reviewer
296,218,2025-05-25,Technical Support
169,210,2024-06-22,Investigator
334,175,2025-04-01,Access Control Reviewer
196,112,2024-06-06,Incident Owner
146,323,2024-12-13,Incident Owner
101,232,2025-02-05,Reporter
226,458,2025-07-02,Incident Owner
455,179,2025-02-26,Technical Support
445,377,2025-10-01,CCTV Reviewer
82,281,2024-12-22,Shift Supervisor
246,412,2025-05-15,Reporter
469,470,2026-04-10,Incident Owner
425,347,2025-08-06,CCTV Reviewer
258,491,2025-10-05,Access Control Reviewer
42,47,2026-06-17,Incident Owner
206,320,2024-08-22,Access Control Reviewer
112,464,2026-05-09,Field Security Officer
277,451,2025-12-18,Reporter
106,467,2025-10-08,Access Control Reviewer
339,234,2024-05-30,Technical Support
290,18,2026-02-17,Investigator
409,65,2024-06-22,Incident Owner
417,45,2024-05-26,Access Control Reviewer
180,211,2025-10-11,Reporter
264,402,2024-12-03,Reporter
454,477,2025-08-28,CCTV Reviewer
187,163,2026-06-15,Field Security Officer
479,335,2024-07-13,Incident Owner
222,500,2025-11-30,CCTV Reviewer
179,201,2024-07-14,Technical Support
198,333,2025-05-26,Shift Supervisor
84,296,2025-12-20,Incident Owner
136,203,2024-09-26,Technical Support
7,48,2026-04-13,CCTV Reviewer
323,281,2024-10-12,Shift Supervisor
343,196,2025-04-21,Access Control Reviewer
289,432,2025-02-19,Reporter
180,423,2025-03-09,Reporter
41,444,2024-07-22,CCTV Reviewer
303,468,2025-03-01,Incident Owner
220,177,2025-08-16,Shift Supervisor
493,497,2025-08-12,Access Control Reviewer
268,234,2025-07-01,Shift Supervisor
174,368,2025-07-16,Incident Owner
207,151,2025-03-08,Shift Supervisor
316,330,2024-10-30,Shift Supervisor
196,85,2024-05-30,Incident Owner
190,10,2024-07-23,Technical Support
